Year,Scenario,PVCZ,Expected EoL Systems,Smoothed EoL Systems
2044,Scenario 3,T6:H4,235.70051827440506,235.45162862775416
2044,Scenario 3,T7:H4,13744.403125061319,13646.78804093923
2044,Scenario 3,T8:H4,867.6088698083773,867.240771592114
2045,Scenario 1,T6:H4,356.4725238325304,354.5007023824753
2045,Scenario 1,T7:H4,22527.088612741558,22240.45127357201
2045,Scenario 1,T8:H4,1482.3830493985477,1472.9934738666382
2045,Scenario 2,T6:H4,296.2498856281561,294.87298929428175
2045,Scenario 2,T7:H4,17682.100050000146,17497.30929521114
2045,Scenario 2,T8:H4,1170.888163104086,1165.177466293733
2045,Scenario 3,T6:H4,236.02724742378132,235.24527620608845
2045,Scenario 3,T7:H4,12837.111487258742,12754.167316850238
2045,Scenario 3,T8:H4,859.3932768096234,857.3614587208266
2046,Scenario 1,T6:H4,383.65028609631946,379.5439710204599
2046,Scenario 1,T7:H4,21270.035782201572,21094.760050260535
2046,Scenario 1,T8:H4,1614.2674568211141,1595.954298018374
2046,Scenario 2,T6:H4,308.8291745081992,306.0800389297366
2046,Scenario 2,T7:H4,16475.511560216124,16366.943894156502
2046,Scenario 2,T8:H4,1229.674843182797,1218.2475796392143
2046,Scenario 3,T6:H4,234.008062920079,232.61610683901299
2046,Scenario 3,T7:H4,11680.987338230654,11639.12773805246
2046,Scenario 3,T8:H4,845.0822295444789,840.5408612600539
2047,Scenario 1,T6:H4,398.5091031325298,391.87091724239934
2047,Scenario 1,T7:H4,19487.155755838474,19399.184944133365
2047,Scenario 1,T8:H4,1691.2123878354598,1661.2436632624024
2047,Scenario 2,T6:H4,313.1610566528545,308.77199820152094
2047,Scenario 2,T7:H4,14943.220072253233,14894.304960842795
2047,Scenario 2,T8:H4,1254.17973263076,1235.154950167387
2047,Scenario 3,T6:H4,227.81301017317853,225.6730791606424
2047,Scenario 3,T7:H4,10399.284388667986,10389.424977552246
2047,Scenario 3,T8:H4,817.1470774260592,809.0662370723703
2048,Scenario 1,T6:H4,393.45336249834895,384.3221666490833
2048,Scenario 1,T7:H4,17440.363294360046,17327.45042180829
2048,Scenario 1,T8:H4,1678.2511451306334,1636.8831922259735
2048,Scenario 2,T6:H4,304.3257634435092,298.3175516068878
2048,Scenario 2,T7:H4,13264.183250059028,13199.773279624382
2048,Scenario 2,T8:H4,1221.610274688603,1195.09436041802
2048,Scenario 3,T6:H4,215.19816438866965,212.31293656469225
2048,Scenario 3,T7:H4,9088.0032057581,9072.096137440467
2048,Scenario 3,T8:H4,764.9694042465726,753.3055286100677
2049,Scenario 1,T6:H4,361.00403431637096,351.19334979093315
2049,Scenario 1,T7:H4,15054.83221522636,14863.036489039669
2049,Scenario 1,T8:H4,1541.1860437118269,1496.9950055333532
2049,Scenario 2,T6:H4,277.46583472429967,271.0371568262329
2049,Scenario 2,T7:H4,11391.916516560887,11275.634548700518
2049,Scenario 2,T8:H4,1109.493073934697,1081.1255321461601
2049,Scenario 3,T6:H4,193.9276351322287,190.88096386153282
2049,Scenario 3,T7:H4,7729.000817895318,7688.232608361377
2049,Scenario 3,T8:H4,677.8001041575712,665.2560587589684
2050,Scenario 1,T6:H4,299.1226525580798,292.3853577184933
2050,Scenario 1,T7:H4,12093.913957532603,11927.812599499477
2050,Scenario 1,T8:H4,1271.5478277575994,1241.424472566162
2050,Scenario 2,T6:H4,231.31987231088974,226.9571332597168
2050,Scenario 2,T7:H4,9170.80387948164,9071.637148541235
2050,Scenario 2,T8:H4,912.2732478151802,893.2262138646378
2050,Scenario 3,T6:H4,163.51709206370012,161.52890880094046
2050,Scenario 3,T7:H4,6247.6938014307125,6215.46169758297
2050,Scenario 3,T8:H4,552.9986678727612,545.0279551631138
2051,Scenario 1,T6:H4,217.02938628102933,216.7639863158566
2051,Scenario 1,T7:H4,8634.691625739471,8660.960901751389
2051,Scenario 1,T8:H4,911.5395462290595,910.4274576104632
2051,Scenario 2,T6:H4,172.08569274396106,172.0397127289784
2051,Scenario 2,T7:H4,6652.191049581178,6680.458431421456
2051,Scenario 2,T8:H4,657.912319844036,658.0754496235908
2051,Scenario 3,T6:H4,127.14199920689258,127.31543914209989
2051,Scenario 3,T7:H4,4669.690473422879,4699.955961091518
2051,Scenario 3,T8:H4,404.28509345900886,405.7234416367184
2052,Scenario 1,T6:H4,134.13992010846073,140.31600156236013
2052,Scenario 1,T7:H4,5254.2771219820925,5513.573621310375
2052,Scenario 1,T8:H4,548.1949988447304,575.7444244688483
2052,Scenario 2,T6:H4,112.71357313208436,116.95757019823229
2052,Scenario 2,T7:H4,4218.38036520155,4400.776819213297
2052,Scenario 2,T8:H4,404.0407812115562,423.15602295780945
2052,Scenario 3,T6:H4,91.28722615570697,93.59913883410418
2052,Scenario 3,T7:H4,3182.4836084209596,3287.9800171162246
2052,Scenario 3,T8:H4,259.88656357838505,270.5676214467704
2053,Scenario 1,T6:H4,69.77869829759038,78.56641277331092
2053,Scenario 1,T7:H4,2651.752116209562,3009.908798438399
2053,Scenario 1,T8:H4,267.4987283327546,306.59287078392884
2053,Scenario 2,T6:H4,66.07344471865144,72.0572127083304
2053,Scenario 2,T7:H4,2331.759042857162,2578.9374030683407
2053,Scenario 2,T8:H4,207.51496781783626,234.1969797196117
2053,Scenario 3,T6:H4,62.36819113971301,65.54801264334942
2053,Scenario 3,T7:H4,2011.765969504835,2147.9660076982923
2053,Scenario 3,T8:H4,147.5312073029173,161.80108865529544
2054,Scenario 1,T6:H4,31.780619913881694,38.79571977826575
2054,Scenario 1,T7:H4,1123.6971571235429,1408.804660326911
2054,Scenario 1,T8:H4,104.08488517430123,135.2275422255131
2054,Scenario 2,T6:H4,37.38462027425537,42.1903982543678
2054,Scenario 2,T7:H4,1186.6728011463101,1384.30013875669
2054,Scenario 2,T8:H4,91.03519012944268,112.32744673807106
2054,Scenario 3,T6:H4,42.98862063462829,45.585076730470384
2054,Scenario 3,T7:H4,1249.6484451690828,1359.7956171864896
2054,Scenario 3,T8:H4,77.98549508458402,89.42735125062912
2055,Scenario 1,T6:H4,14.827841123325234,18.444127107762345
2055,Scenario 1,T7:H4,450.9647076476279,598.1006930490449
2055,Scenario 1,T8:H4,34.09901316948325,50.07619931009424
2055,Scenario 2,T6:H4,23.11312977019658,25.656175868913554
2055,Scenario 2,T7:H4,634.4685722665981,739.3581780417211
2055,Scenario 2,T8:H4,38.43218226693422,49.5446062969458
2055,Scenario 3,T6:H4,31.39841841706987,32.86822463006475
2055,Scenario 3,T7:H4,817.9724368855509,880.6156630343921
2055,Scenario 3,T8:H4,42.76535136438606,49.01301328379825
2056,Scenario 1,T6:H4,8.723920286080165,9.96399256280102
2056,Scenario 1,T7:H4,219.64021437596423,270.25750636136524
2056,Scenario 1,T8:H4,12.044699586497991,17.417606816183405
2056,Scenario 2,T6:H4,16.47077756228872,17.426881218507145
2056,Scenario 2,T7:H4,396.9331607122548,436.62524289000163
2056,Scenario 2,T8:H4,19.16644649446049,23.1365310459733
2056,Scenario 3,T6:H4,24.217634838496114,24.889769874213012
2056,Scenario 3,T7:H4,574.2261070485424,602.992979418612
2056,Scenario 3,T8:H4,26.288193402424678,28.85545527576245
2057,Scenario 1,T6:H4,6.340216278997716,6.6581606537570295
2057,Scenario 1,T7:H4,140.16759706050362,153.11016142935213
2057,Scenario 1,T8:H4,6.1091076925687515,7.355991265012984
2057,Scenario 2,T6:H4,12.69673632303613,13.029300975975238
2057,Scenario 2,T7:H4,278.473995691152,292.1104543725884
2057,Scenario 2,T8:H4,11.810964376525188,12.953170642105427
2057,Scenario 3,T6:H4,19.053256367073054,19.400441298192657
2057,Scenario 3,T7:H4,416.7803943217425,431.110747315801
2057,Scenario 3,T8:H4,17.512821060476604,18.55035001919576
2058,Scenario 1,T6:H4,4.910345396193265,5.0169155797091785
2058,Scenario 1,T7:H4,99.52267285158855,103.60848847081235
2058,Scenario 1,T8:H4,3.914166515971984,4.208188105541335
2058,Scenario 2,T6:H4,9.920389042600862,10.09996828334752
2058,Scenario 2,T7:H4,200.92420671435832,207.7355990533523
2058,Scenario 2,T8:H4,7.882101055330604,8.317097235065122
2058,Scenario 3,T6:H4,14.930432689008803,15.183020986985532
2058,Scenario 3,T7:H4,302.3257405771181,311.8627096359003
2058,Scenario 3,T8:H4,11.850035594686005,12.426006364586007
2059,Scenario 1,T6:H4,3.8001850639366097,3.8721405795831623
2059,Scenario 1,T7:H4,71.13519550034485,73.60545461644149
2059,Scenario 1,T8:H4,2.601290108083042,2.7400744626816618
2059,Scenario 2,T6:H4,7.68277948440557,7.826040025818937
2059,Scenario 2,T7:H4,143.80859475454653,148.71336376437714
2059,Scenario 2,T8:H4,5.258226273339573,5.528969881187083
2059,Scenario 3,T6:H4,11.565373904874734,11.779939472055062
2059,Scenario 3,T7:H4,216.48199400884027,223.82127291233323
2059,Scenario 3,T8:H4,7.915162438595411,8.317865299692746
2060,Scenario 1,T6:H4,2.9058912786196696,3.3530381712781114
2060,Scenario 1,T7:H4,50.15849549739109,60.64684549886797
2060,Scenario 1,T8:H4,1.7047667639897317,2.1530284360365006
2060,Scenario 2,T6:H4,5.874951550450379,6.778865517427975
2060,Scenario 2,T7:H4,101.40728982422652,122.60794228938653
2060,Scenario 2,T8:H4,3.446582314891071,4.352404294115322
2060,Scenario 3,T6:H4,8.844011822281647,10.204692863578192
2060,Scenario 3,T7:H4,152.65608415104126,184.56903907994078
2060,Scenario 3,T8:H4,5.188397865796821,6.551780152196116
